,state,x,y
0,Andhra Pradesh,-72.0,-128.0
1,Arunachal Pradesh,199.0,125.0
2,Assam,177.0,86.0
3,Bihar,47.0,75.0
4,Chhattisgarh,-15.0,-12.0
5,Goa,-150.0,-120.0
6,Gujarat,-200.0,21.0
7,Haryana,-112.0,140.0
8,Himachal Pradesh,-97.0,195.0
9,Jharkhand,37.0,30.0
10,Karnataka,-126.0,-133.0
11,Kerala,-111.0,-205.0
12,Madhya Pradesh,-87.0,29.0
13,Maharashtra,-131.0,-48.0
14,Manipur,191.0,55.0
15,Meghalaya,143.0,66.0
16,Mizoram,172.0,27.0
17,Nagaland,204.0,78.0
18,Odisha,26.0,-22.0
19,Punjab,-127.0,168.0
20,Rajasthan,-162.0,96.0
21,Sikkim,98.0,111.0
22,Tamil Nadu,-76.0,-198.0
23,Telangana,-68.0,-64.0
24,Tripura,150.0,36.0
25,Uttar Pradesh,-41.0,101.0
26,Uttarakhand,-57.0,160.0
27,West Bengal,84.0,22.0
